row_id,SKU_A,SKU_B,raw_r,growth_r,pair,quadrant
43,3M1292TY,PIP33-BLK125BPXS,0.9261,0.3868,3M1292TY vs PIP33-BLK125BPXS,Spurious (trend only)
44,3M1292TY,PIP42-874,0.3187,0.6245,3M1292TY vs PIP42-874,Weak
45,3M1292TY,PMKN95B,0.4821,0.4355,3M1292TY vs PMKN95B,Weak
46,3M1292TY,RA99705,0.8459,0.3308,3M1292TY vs RA99705,Spurious (trend only)
47,3M1292TY,SACFCB02,0.2688,0.0819,3M1292TY vs SACFCB02,Weak
48,3M1292TY,SFGG805PFL,0.3736,0.2987,3M1292TY vs SFGG805PFL,Weak
49,3M1292TY,SFPUG09VMT,0.2344,0.6456,3M1292TY vs SFPUG09VMT,Weak
50,3M1292TY,SFPUG111VMT,0.4347,0.6191,3M1292TY vs SFPUG111VMT,Weak
51,3M1292TY,SFPUG611VMT,0.8385,0.6291,3M1292TY vs SFPUG611VMT,Spurious (trend only)
52,3M1292TY,SFT601,-0.316,-0.1703,3M1292TY vs SFT601,Weak
53,3M1292TY,SPS3960HS,0.0328,0.1488,3M1292TY vs SPS3960HS,Weak
54,3M1292TY,SPS700HS,0.3404,0.2225,3M1292TY vs SPS700HS,Weak
55,3M1292TY,SRCRC12,-0.3168,0.4962,3M1292TY vs SRCRC12,Weak
56,3M1292TY,SRCRCL,-0.1418,0.2192,3M1292TY vs SRCRCL,Weak
57,3M1292TY,SRESM60V,0.6863,-0.0016,3M1292TY vs SRESM60V,Weak
58,3M1292TY,SRMAM,-0.0708,0.471,3M1292TY vs SRMAM,Weak
59,3M1292TY,SRPEC60X90TY,0.3215,0.3606,3M1292TY vs SRPEC60X90TY,Weak
60,3M1292TY,SRPM60X90,0.5069,0.5211,3M1292TY vs SRPM60X90,Weak
61,3M1292TY,UVS4040,0.9594,0.0171,3M1292TY vs UVS4040,Spurious (trend only)
62,3M1292TY,UVSVP400,0.0534,0.7837,3M1292TY vs UVSVP400,Hidden (only in growth)
63,3M1292TY,UVSVP401,0.884,0.2087,3M1292TY vs UVSVP401,Spurious (trend only)
64,3M1292TY,XAGRPCFCGIS,0.2075,0.3747,3M1292TY vs XAGRPCFCGIS,Weak
65,3M1292TY,XAPERC,0.194,0.2035,3M1292TY vs XAPERC,Weak
66,3M1292TY,XAPOKGIS,0.2361,0.121,3M1292TY vs XAPOKGIS,Weak
67,3M1292TY,XESB60R,0.2237,0.4006,3M1292TY vs XESB60R,Weak
68,3M1292TY,XGNRON,-0.2134,-0.0377,3M1292TY vs XGNRON,Weak
69,3M1292TY,XS3M501,0.1011,-0.073,3M1292TY vs XS3M501,Weak
70,3M1292TY,XS3M5N11,0.5615,0.3397,3M1292TY vs XS3M5N11,Weak
71,3M1292TY,XS3M6003-TY,0.6739,0.1719,3M1292TY vs XS3M6003-TY,Weak
72,3M1292TY,XS3M6004TY,-0.0018,0.2843,3M1292TY vs XS3M6004TY,Weak
73,3M1292TY,XS3M7093TY,0.4712,0.555,3M1292TY vs XS3M7093TY,Weak
74,3M1292TY,XS3M7502TY,0.7506,0.1553,3M1292TY vs XS3M7502TY,Spurious (trend only)
75,3M1292TY,XSAE82509TY,0.3417,0.3987,3M1292TY vs XSAE82509TY,Weak
76,3M1292TY,XSAE82701,0.2095,0.6506,3M1292TY vs XSAE82701,Weak
77,3M501,3M5N11,0.4256,0.5862,3M501 vs 3M5N11,Weak
78,3M501,3M6200,0.4121,0.6394,3M501 vs 3M6200,Weak
79,3M501,3m6001PR,0.4862,0.6167,3M501 vs 3m6001PR,Weak
80,3M501,AE82501,0.5884,0.5193,3M501 vs AE82501,Weak
81,3M501,AN11-250,0.6194,0.7801,3M501 vs AN11-250,Hidden (only in growth)
82,3M501,AN11840-10,0.4149,-0.1158,3M501 vs AN11840-10,Weak
83,3M501,AN11840-7,0.5333,-0.1805,3M501 vs AN11840-7,Weak
84,3M501,AN11840-8,0.5323,-0.1802,3M501 vs AN11840-8,Weak
85,3M501,AN11840-9,0.539,-0.1567,3M501 vs AN11840-9,Weak
86,3M501,AN16-650T9,0.6535,0.1473,3M501 vs AN16-650T9,Weak
87,3M501,AN23-201T9,-0.2724,0.0598,3M501 vs AN23-201T9,Weak
88,3M501,AN37-175T10,0.7099,0.3077,3M501 vs AN37-175T10,Weak
89,3M501,AN48-129T10,0.4552,0.0112,3M501 vs AN48-129T10,Weak
90,3M501,AN48-129T7,0.4602,0.0393,3M501 vs AN48-129T7,Weak
91,3M501,AN48-129T8,0.4806,0.0468,3M501 vs AN48-129T8,Weak
92,3M501,AN48-129T9,0.4745,0.106,3M501 vs AN48-129T9,Weak
93,3M501,CR2310AF,0.4128,0.1716,3M501 vs CR2310AF,Weak
94,3M501,CRST1130,0.7786,0.7123,3M501 vs CRST1130,Spurious (trend only)
95,3M501,DUNB127SXL,-0.0244,0.1537,3M501 vs DUNB127SXL,Weak
96,3M501,GIA2005B,-0.1666,0.1661,3M501 vs GIA2005B,Weak
97,3M501,JYG37510,-0.4089,0.196,3M501 vs JYG37510,Weak
98,3M501,JYR-1521M,0.7164,0.3485,3M501 vs JYR-1521M,Weak
99,3M501,JYR-2004AM,-0.5473,0.0865,3M501 vs JYR-2004AM,Weak
100,3M501,JYR-2004AZ,0.373,0.2005,3M501 vs JYR-2004AZ,Weak
101,3M501,JYR-2004B,-0.2471,-0.1048,3M501 vs JYR-2004B,Weak
102,3M501,JYR-2004N,0.0508,0.103,3M501 vs JYR-2004N,Weak
103,3M501,JYR-2004R,-0.3216,-0.1903,3M501 vs JYR-2004R,Weak
104,3M501,ME6632L,0.6688,0.4736,3M501 vs ME6632L,Weak
105,3M501,ME6632M,0.693,0.6726,3M501 vs ME6632M,Weak
106,3M501,ME6632XL,0.7094,0.6524,3M501 vs ME6632XL,Weak
107,3M501,ME9683L,0.7169,0.2341,3M501 vs ME9683L,Weak
108,3M501,ME9683M,0.8122,0.2665,3M501 vs ME9683M,Spurious (trend only)
109,3M501,ME9683S,0.6706,0.1224,3M501 vs ME9683S,Weak
110,3M501,MESX200LH,0.6571,0.3235,3M501 vs MESX200LH,Weak
111,3M501,MESX9378KCTV,0.5899,-0.0031,3M501 vs MESX9378KCTV,Weak
112,3M501,MESX9667L,-0.0839,0.2181,3M501 vs MESX9667L,Weak
113,3M501,MOM2700,0.4469,0.24,3M501 vs MOM2700,Weak
114,3M501,MRSR-1060NJTL,0.413,0.1689,3M501 vs MRSR-1060NJTL,Weak
115,3M501,PIP33-BLK125BPL,0.6031,0.4871,3M501 vs PIP33-BLK125BPL,Weak
116,3M501,PIP33-BLK125BPM,0.661,0.4803,3M501 vs PIP33-BLK125BPM,Weak
117,3M501,PIP33-BLK125BPS,0.6862,0.4123,3M501 vs PIP33-BLK125BPS,Weak
118,3M501,PIP33-BLK125BPXS,0.6873,0.3984,3M501 vs PIP33-BLK125BPXS,Weak
119,3M501,PIP42-874,0.3851,0.2413,3M501 vs PIP42-874,Weak
120,3M501,PMKN95B,0.6822,0.2099,3M501 vs PMKN95B,Weak
121,3M501,RA99705,0.48,0.0678,3M501 vs RA99705,Weak
122,3M501,SACFCB02,0.4842,0.3964,3M501 vs SACFCB02,Weak
123,3M501,SFGG805PFL,0.5819,0.3505,3M501 vs SFGG805PFL,Weak
124,3M501,SFPUG09VMT,0.276,0.285,3M501 vs SFPUG09VMT,Weak
125,3M501,SFPUG111VMT,0.4255,0.2884,3M501 vs SFPUG111VMT,Weak
126,3M501,SFPUG611VMT,0.8051,0.387,3M501 vs SFPUG611VMT,Spurious (trend only)
127,3M501,SFT601,-0.1772,0.3507,3M501 vs SFT601,Weak
128,3M501,SPS3960HS,-0.0619,-0.0313,3M501 vs SPS3960HS,Weak
129,3M501,SPS700HS,0.5008,0.6923,3M501 vs SPS700HS,Weak
130,3M501,SRCRC12,-0.4251,-0.2934,3M501 vs SRCRC12,Weak
131,3M501,SRCRCL,-0.0382,0.082,3M501 vs SRCRCL,Weak
132,3M501,SRESM60V,0.7605,0.4835,3M501 vs SRESM60V,Spurious (trend only)
133,3M501,SRMAM,-0.116,0.105,3M501 vs SRMAM,Weak
134,3M501,SRPEC60X90TY,0.3421,0.1005,3M501 vs SRPEC60X90TY,Weak
135,3M501,SRPM60X90,0.7965,0.3861,3M501 vs SRPM60X90,Spurious (trend only)
136,3M501,UVS4040,0.6544,0.5911,3M501 vs UVS4040,Weak
137,3M501,UVSVP400,0.0873,0.1389,3M501 vs UVSVP400,Weak
138,3M501,UVSVP401,0.7723,0.4441,3M501 vs UVSVP401,Spurious (trend only)
139,3M501,XAGRPCFCGIS,0.1597,0.3819,3M501 vs XAGRPCFCGIS,Weak
140,3M501,XAPERC,0.1853,0.3855,3M501 vs XAPERC,Weak
141,3M501,XAPOKGIS,0.0254,0.1853,3M501 vs XAPOKGIS,Weak
142,3M501,XESB60R,0.1511,0.2846,3M501 vs XESB60R,Weak
143,3M501,XGNRON,-0.3672,-0.1995,3M501 vs XGNRON,Weak
144,3M501,XS3M501,0.1235,-0.0538,3M501 vs XS3M501,Weak
145,3M501,XS3M5N11,0.5492,0.2393,3M501 vs XS3M5N11,Weak
146,3M501,XS3M6003-TY,0.6219,0.0248,3M501 vs XS3M6003-TY,Weak
147,3M501,XS3M6004TY,-0.0221,0.3984,3M501 vs XS3M6004TY,Weak
148,3M501,XS3M7093TY,0.559,0.2605,3M501 vs XS3M7093TY,Weak
149,3M501,XS3M7502TY,0.7462,0.0503,3M501 vs XS3M7502TY,Weak
150,3M501,XSAE82509TY,0.3055,0.1449,3M501 vs XSAE82509TY,Weak
151,3M501,XSAE82701,0.2494,0.1179,3M501 vs XSAE82701,Weak
152,3M5N11,3M6200,0.8389,0.6551,3M5N11 vs 3M6200,Spurious (trend only)
153,3M5N11,3m6001PR,0.9546,0.9097,3M5N11 vs 3m6001PR,Genuine (strong in both)
154,3M5N11,AE82501,0.073,0.1556,3M5N11 vs AE82501,Weak
155,3M5N11,AN11-250,-0.1047,-0.1286,3M5N11 vs AN11-250,Weak
156,3M5N11,AN11840-10,-0.0802,0.2221,3M5N11 vs AN11840-10,Weak
157,3M5N11,AN11840-7,-0.1031,0.1212,3M5N11 vs AN11840-7,Weak
158,3M5N11,AN11840-8,-0.1111,0.1245,3M5N11 vs AN11840-8,Weak
159,3M5N11,AN11840-9,-0.1098,0.1416,3M5N11 vs AN11840-9,Weak
160,3M5N11,AN16-650T9,-0.0519,0.1676,3M5N11 vs AN16-650T9,Weak
161,3M5N11,AN23-201T9,0.304,-0.0696,3M5N11 vs AN23-201T9,Weak
162,3M5N11,AN37-175T10,0.3491,-0.0973,3M5N11 vs AN37-175T10,Weak
163,3M5N11,AN48-129T10,-0.0589,0.4124,3M5N11 vs AN48-129T10,Weak
164,3M5N11,AN48-129T7,-0.0737,0.2466,3M5N11 vs AN48-129T7,Weak
165,3M5N11,AN48-129T8,-0.0753,-0.0967,3M5N11 vs AN48-129T8,Weak
166,3M5N11,AN48-129T9,-0.0856,0.1737,3M5N11 vs AN48-129T9,Weak
167,3M5N11,CR2310AF,0.7141,0.0591,3M5N11 vs CR2310AF,Weak
168,3M5N11,CRST1130,-0.0648,0.0468,3M5N11 vs CRST1130,Weak
169,3M5N11,DUNB127SXL,0.2311,-0.1403,3M5N11 vs DUNB127SXL,Weak
170,3M5N11,GIA2005B,0.1562,-0.0016,3M5N11 vs GIA2005B,Weak
171,3M5N11,JYG37510,0.1437,0.1245,3M5N11 vs JYG37510,Weak
172,3M5N11,JYR-1521M,0.3728,0.2055,3M5N11 vs JYR-1521M,Weak
173,3M5N11,JYR-2004AM,-0.0482,0.2413,3M5N11 vs JYR-2004AM,Weak
174,3M5N11,JYR-2004AZ,0.2067,0.1027,3M5N11 vs JYR-2004AZ,Weak
175,3M5N11,JYR-2004B,0.1435,-0.1831,3M5N11 vs JYR-2004B,Weak
176,3M5N11,JYR-2004N,-0.0024,-0.2697,3M5N11 vs JYR-2004N,Weak
177,3M5N11,JYR-2004R,0.0764,-0.151,3M5N11 vs JYR-2004R,Weak
178,3M5N11,ME6632L,-0.0953,0.06,3M5N11 vs ME6632L,Weak
179,3M5N11,ME6632M,-0.1004,-0.017,3M5N11 vs ME6632M,Weak
180,3M5N11,ME6632XL,-0.0972,-0.1363,3M5N11 vs ME6632XL,Weak
181,3M5N11,ME9683L,0.1717,0.0063,3M5N11 vs ME9683L,Weak
182,3M5N11,ME9683M,0.1619,-0.0267,3M5N11 vs ME9683M,Weak
183,3M5N11,ME9683S,-0.0604,-0.0479,3M5N11 vs ME9683S,Weak
184,3M5N11,MESX200LH,0.1312,0.0485,3M5N11 vs MESX200LH,Weak
185,3M5N11,MESX9378KCTV,0.0262,0.1366,3M5N11 vs MESX9378KCTV,Weak
186,3M5N11,MESX9667L,0.0809,0.1887,3M5N11 vs MESX9667L,Weak
187,3M5N11,MOM2700,0.278,0.0925,3M5N11 vs MOM2700,Weak
188,3M5N11,MRSR-1060NJTL,0.5218,0.0373,3M5N11 vs MRSR-1060NJTL,Weak
189,3M5N11,PIP33-BLK125BPL,-0.1002,-0.0258,3M5N11 vs PIP33-BLK125BPL,Weak
190,3M5N11,PIP33-BLK125BPM,-0.0963,-0.1887,3M5N11 vs PIP33-BLK125BPM,Weak
191,3M5N11,PIP33-BLK125BPS,-0.1045,-0.1862,3M5N11 vs PIP33-BLK125BPS,Weak
192,3M5N11,PIP33-BLK125BPXS,-0.0888,0.1168,3M5N11 vs PIP33-BLK125BPXS,Weak
193,3M5N11,PIP42-874,0.2829,0.0915,3M5N11 vs PIP42-874,Weak
194,3M5N11,PMKN95B,0.3183,0.0753,3M5N11 vs PMKN95B,Weak
195,3M5N11,RA99705,-0.0757,0.1661,3M5N11 vs RA99705,Weak
196,3M5N11,SACFCB02,0.389,0.1576,3M5N11 vs SACFCB02,Weak
197,3M5N11,SFGG805PFL,0.5276,0.0965,3M5N11 vs SFGG805PFL,Weak
198,3M5N11,SFPUG09VMT,0.2321,0.1636,3M5N11 vs SFPUG09VMT,Weak
199,3M5N11,SFPUG111VMT,0.1111,0.1399,3M5N11 vs SFPUG111VMT,Weak
200,3M5N11,SFPUG611VMT,0.139,0.2123,3M5N11 vs SFPUG611VMT,Weak
201,3M5N11,SFT601,0.4468,0.3528,3M5N11 vs SFT601,Weak
202,3M5N11,SPS3960HS,0.2297,0.1388,3M5N11 vs SPS3960HS,Weak
203,3M5N11,SPS700HS,0.3633,0.517,3M5N11 vs SPS700HS,Weak
204,3M5N11,SRCRC12,-0.23,-0.2973,3M5N11 vs SRCRC12,Weak
205,3M5N11,SRCRCL,0.2808,-0.0796,3M5N11 vs SRCRCL,Weak
206,3M5N11,SRESM60V,0.0832,0.5778,3M5N11 vs SRESM60V,Weak
207,3M5N11,SRMAM,0.1339,0.0091,3M5N11 vs SRMAM,Weak
208,3M5N11,SRPEC60X90TY,0.3995,0.1692,3M5N11 vs SRPEC60X90TY,Weak
209,3M5N11,SRPM60X90,0.6102,0.2882,3M5N11 vs SRPM60X90,Weak
210,3M5N11,UVS4040,-0.109,-0.1631,3M5N11 vs UVS4040,Weak
211,3M5N11,UVSVP400,0.4157,0.0194,3M5N11 vs UVSVP400,Weak
212,3M5N11,UVSVP401,-0.0858,-0.1969,3M5N11 vs UVSVP401,Weak
213,3M5N11,XAGRPCFCGIS,-0.038,-0.0047,3M5N11 vs XAGRPCFCGIS,Weak
214,3M5N11,XAPERC,0.209,0.3931,3M5N11 vs XAPERC,Weak
215,3M5N11,XAPOKGIS,-0.0466,-0.0427,3M5N11 vs XAPOKGIS,Weak
216,3M5N11,XESB60R,0.0178,-0.1192,3M5N11 vs XESB60R,Weak
217,3M5N11,XGNRON,-0.0296,-0.189,3M5N11 vs XGNRON,Weak
218,3M5N11,XS3M501,0.4107,0.1325,3M5N11 vs XS3M501,Weak
219,3M5N11,XS3M5N11,0.3775,0.1209,3M5N11 vs XS3M5N11,Weak
220,3M5N11,XS3M6003-TY,0.0135,0.1072,3M5N11 vs XS3M6003-TY,Weak
221,3M5N11,XS3M6004TY,0.3057,0.0362,3M5N11 vs XS3M6004TY,Weak
222,3M5N11,XS3M7093TY,0.2855,0.1947,3M5N11 vs XS3M7093TY,Weak
223,3M5N11,XS3M7502TY,0.1546,0.1299,3M5N11 vs XS3M7502TY,Weak
224,3M5N11,XSAE82509TY,0.2524,0.0932,3M5N11 vs XSAE82509TY,Weak
225,3M5N11,XSAE82701,0.4078,0.1543,3M5N11 vs XSAE82701,Weak
226,3M6200,3m6001PR,0.863,0.6049,3M6200 vs 3m6001PR,Spurious (trend only)
227,3M6200,AE82501,0.0815,0.3314,3M6200 vs AE82501,Weak
228,3M6200,AN11-250,-0.1033,0.3399,3M6200 vs AN11-250,Weak
229,3M6200,AN11840-10,-0.0281,0.2036,3M6200 vs AN11840-10,Weak
230,3M6200,AN11840-7,-0.0732,0.1215,3M6200 vs AN11840-7,Weak
231,3M6200,AN11840-8,-0.0846,0.1405,3M6200 vs AN11840-8,Weak
232,3M6200,AN11840-9,-0.0848,0.1267,3M6200 vs AN11840-9,Weak
233,3M6200,AN16-650T9,-0.0571,-0.0762,3M6200 vs AN16-650T9,Weak
234,3M6200,AN23-201T9,0.2563,0.1664,3M6200 vs AN23-201T9,Weak
235,3M6200,AN37-175T10,0.3078,0.1514,3M6200 vs AN37-175T10,Weak
236,3M6200,AN48-129T10,-0.1098,0.2641,3M6200 vs AN48-129T10,Weak
237,3M6200,AN48-129T7,-0.1154,0.3934,3M6200 vs AN48-129T7,Weak
238,3M6200,AN48-129T8,-0.1213,-0.2382,3M6200 vs AN48-129T8,Weak
239,3M6200,AN48-129T9,-0.1061,0.3753,3M6200 vs AN48-129T9,Weak
240,3M6200,CR2310AF,0.8227,0.0887,3M6200 vs CR2310AF,Spurious (trend only)
241,3M6200,CRST1130,-0.09,0.0304,3M6200 vs CRST1130,Weak
242,3M6200,DUNB127SXL,0.2478,0.0479,3M6200 vs DUNB127SXL,Weak
243,3M6200,GIA2005B,0.1987,0.3935,3M6200 vs GIA2005B,Weak
244,3M6200,JYG37510,0.0654,0.102,3M6200 vs JYG37510,Weak
245,3M6200,JYR-1521M,0.3559,0.2612,3M6200 vs JYR-1521M,Weak
246,3M6200,JYR-2004AM,-0.0618,0.4304,3M6200 vs JYR-2004AM,Weak
247,3M6200,JYR-2004AZ,0.1662,0.0506,3M6200 vs JYR-2004AZ,Weak
248,3M6200,JYR-2004B,-0.0081,0.0116,3M6200 vs JYR-2004B,Weak
249,3M6200,JYR-2004N,-0.0768,0.038,3M6200 vs JYR-2004N,Weak
250,3M6200,JYR-2004R,-0.0661,-0.2087,3M6200 vs JYR-2004R,Weak
251,3M6200,ME6632L,-0.1139,0.0518,3M6200 vs ME6632L,Weak
252,3M6200,ME6632M,-0.1059,0.0207,3M6200 vs ME6632M,Weak
253,3M6200,ME6632XL,-0.1153,-0.0842,3M6200 vs ME6632XL,Weak
254,3M6200,ME9683L,0.098,0.207,3M6200 vs ME9683L,Weak
255,3M6200,ME9683M,0.0853,0.0031,3M6200 vs ME9683M,Weak
256,3M6200,ME9683S,-0.139,-0.0398,3M6200 vs ME9683S,Weak
257,3M6200,MESX200LH,0.0785,0.1259,3M6200 vs MESX200LH,Weak
258,3M6200,MESX9378KCTV,0.0044,0.1284,3M6200 vs MESX9378KCTV,Weak
259,3M6200,MESX9667L,0.1592,0.3744,3M6200 vs MESX9667L,Weak
260,3M6200,MOM2700,0.1623,0.1325,3M6200 vs MOM2700,Weak
261,3M6200,MRSR-1060NJTL,0.5882,0.032,3M6200 vs MRSR-1060NJTL,Weak
262,3M6200,PIP33-BLK125BPL,-0.1254,0.1351,3M6200 vs PIP33-BLK125BPL,Weak
263,3M6200,PIP33-BLK125BPM,-0.1226,0.2183,3M6200 vs PIP33-BLK125BPM,Weak
264,3M6200,PIP33-BLK125BPS,-0.1184,0.2062,3M6200 vs PIP33-BLK125BPS,Weak
265,3M6200,PIP33-BLK125BPXS,-0.1147,-0.0737,3M6200 vs PIP33-BLK125BPXS,Weak
266,3M6200,PIP42-874,0.2492,0.1733,3M6200 vs PIP42-874,Weak
267,3M6200,PMKN95B,0.2856,0.1955,3M6200 vs PMKN95B,Weak
268,3M6200,RA99705,-0.1118,0.3122,3M6200 vs RA99705,Weak
269,3M6200,SACFCB02,0.3261,0.1816,3M6200 vs SACFCB02,Weak
270,3M6200,SFGG805PFL,0.4594,0.3265,3M6200 vs SFGG805PFL,Weak
271,3M6200,SFPUG09VMT,0.2804,0.3735,3M6200 vs SFPUG09VMT,Weak
272,3M6200,SFPUG111VMT,0.1777,0.3972,3M6200 vs SFPUG111VMT,Weak
273,3M6200,SFPUG611VMT,0.1309,0.3983,3M6200 vs SFPUG611VMT,Weak
274,3M6200,SFT601,0.3158,0.3942,3M6200 vs SFT601,Weak
275,3M6200,SPS3960HS,0.2139,-0.0626,3M6200 vs SPS3960HS,Weak
276,3M6200,SPS700HS,0.2743,0.6414,3M6200 vs SPS700HS,Weak
277,3M6200,SRCRC12,-0.181,-0.2343,3M6200 vs SRCRC12,Weak
278,3M6200,SRCRCL,0.1162,0.1215,3M6200 vs SRCRCL,Weak
279,3M6200,SRESM60V,0.0593,0.7785,3M6200 vs SRESM60V,Hidden (only in growth)
280,3M6200,SRMAM,0.0622,0.0319,3M6200 vs SRMAM,Weak
281,3M6200,SRPEC60X90TY,0.2795,0.0582,3M6200 vs SRPEC60X90TY,Weak
282,3M6200,SRPM60X90,0.5914,0.2569,3M6200 vs SRPM60X90,Weak
283,3M6200,UVS4040,-0.1175,-0.0806,3M6200 vs UVS4040,Weak
284,3M6200,UVSVP400,0.233,0.0499,3M6200 vs UVSVP400,Weak
285,3M6200,UVSVP401,-0.0982,0.2052,3M6200 vs UVSVP401,Weak
286,3M6200,XAGRPCFCGIS,-0.0843,0.013,3M6200 vs XAGRPCFCGIS,Weak
287,3M6200,XAPERC,-0.001,0.3251,3M6200 vs XAPERC,Weak
288,3M6200,XAPOKGIS,-0.111,-0.0034,3M6200 vs XAPOKGIS,Weak
289,3M6200,XESB60R,0.0156,-0.0192,3M6200 vs XESB60R,Weak
290,3M6200,XGNRON,0.0251,-0.0557,3M6200 vs XGNRON,Weak
291,3M6200,XS3M501,0.3106,0.0857,3M6200 vs XS3M501,Weak
292,3M6200,XS3M5N11,0.2724,0.3137,3M6200 vs XS3M5N11,Weak
293,3M6200,XS3M6003-TY,-0.0368,-0.0103,3M6200 vs XS3M6003-TY,Weak
294,3M6200,XS3M6004TY,0.2151,0.0886,3M6200 vs XS3M6004TY,Weak
295,3M6200,XS3M7093TY,0.1887,0.1583,3M6200 vs XS3M7093TY,Weak
296,3M6200,XS3M7502TY,0.1009,0.0182,3M6200 vs XS3M7502TY,Weak
297,3M6200,XSAE82509TY,0.1318,-0.0318,3M6200 vs XSAE82509TY,Weak
298,3M6200,XSAE82701,0.2846,0.008,3M6200 vs XSAE82701,Weak
299,3m6001PR,AE82501,0.0753,0.1956,3m6001PR vs AE82501,Weak
300,3m6001PR,AN11-250,-0.0811,0.0754,3m6001PR vs AN11-250,Weak
301,3m6001PR,AN11840-10,-0.042,0.2827,3m6001PR vs AN11840-10,Weak
302,3m6001PR,AN11840-7,-0.0732,0.176,3m6001PR vs AN11840-7,Weak
303,3m6001PR,AN11840-8,-0.0866,0.1793,3m6001PR vs AN11840-8,Weak
304,3m6001PR,AN11840-9,-0.0714,0.2063,3m6001PR vs AN11840-9,Weak
